year,avg_temp,city
1975,21.35,Cairo
1976,21.28,Cairo
1977,21.57,Cairo
1978,21.67,Cairo
1979,22.06,Cairo
1980,21.52,Cairo
1981,21.42,Cairo
1982,21.04,Cairo
1983,20.75,Cairo
1984,21.32,Cairo
1985,21.72,Cairo
1986,21.52,Cairo
1987,21.24,Cairo
1988,21.65,Cairo
1989,21.43,Cairo
1990,21.60,Cairo
1991,21.65,Cairo
1992,21.11,Cairo
1993,21.79,Cairo
1994,22.02,Cairo
1995,21.56,Cairo
1996,21.88,Cairo
1997,21.45,Cairo
1998,22.36,Cairo
1999,22.28,Cairo
2000,21.49,Cairo
2001,22.33,Cairo
2002,22.41,Cairo
2003,22.17,Cairo
2004,22.08,Cairo
2005,22.01,Cairo
2006,22.05,Cairo
2007,22.36,Cairo
2008,22.64,Cairo
2009,22.63,Cairo
2010,23.72,Cairo
2011,21.99,Cairo
2012,22.48,Cairo
2013,22.91,Cairo
1808,14.91,Damascus
1809,17.04,Damascus
1810,17.09,Damascus
1811,17.12,Damascus
1812,17.07,Damascus
1813,17.62,Damascus
1814,17.68,Damascus
1815,17.42,Damascus
1816,16.97,Damascus
1817,17.15,Damascus
1818,17.99,Damascus
1819,17.50,Damascus
1820,17.67,Damascus
1821,17.77,Damascus
1822,17.66,Damascus
1823,17.96,Damascus
1824,18.75,Damascus
1825,18.09,Damascus
1826,18.01,Damascus
1827,18.88,Damascus
1828,18.08,Damascus
1829,18.05,Damascus
1830,18.36,Damascus
1831,17.66,Damascus
1832,17.08,Damascus
1833,17.93,Damascus
1834,17.79,Damascus
1835,17.33,Damascus
1836,17.77,Damascus
1837,17.46,Damascus
1838,17.26,Damascus
1839,17.53,Damascus
1840,17.57,Damascus
1841,18.05,Damascus
1842,18.01,Damascus
1843,17.95,Damascus
1844,17.81,Damascus
1845,18.02,Damascus
1846,18.69,Damascus
1847,18.22,Damascus
1848,18.12,Damascus
1849,18.14,Damascus
1850,17.56,Damascus
1851,18.46,Damascus
1852,18.24,Damascus
1853,18.75,Damascus
1854,17.79,Damascus
1855,18.21,Damascus
1856,17.71,Damascus
1857,17.38,Damascus
1858,18.03,Damascus
1859,18.20,Damascus
1860,18.59,Damascus
1861,17.03,Damascus
1862,17.00,Damascus
1863,17.55,Damascus
1864,18.32,Damascus
1865,18.66,Damascus
1866,18.48,Damascus
1867,18.49,Damascus
1868,18.02,Damascus
1869,18.65,Damascus
1870,18.37,Damascus
1871,17.60,Damascus
1872,18.38,Damascus
1873,18.73,Damascus
1874,17.92,Damascus
1875,16.97,Damascus
1876,18.46,Damascus
1877,18.87,Damascus
1878,18.76,Damascus
1879,19.05,Damascus
1880,17.82,Damascus
1881,18.42,Damascus
1882,17.66,Damascus
1883,18.15,Damascus
1884,17.67,Damascus
1885,18.56,Damascus
1886,17.89,Damascus
1887,18.48,Damascus
1888,18.40,Damascus
1889,18.59,Damascus
1890,18.40,Damascus
1891,18.34,Damascus
1892,18.60,Damascus
1893,17.91,Damascus
1894,17.55,Damascus
1895,17.99,Damascus
1896,18.18,Damascus
1897,17.53,Damascus
1898,18.11,Damascus
1899,18.26,Damascus
1900,18.62,Damascus
1901,19.08,Damascus
1902,18.70,Damascus
1903,17.93,Damascus
1904,17.92,Damascus
1905,17.91,Damascus
1906,18.19,Damascus
1907,17.52,Damascus
1908,17.66,Damascus
1909,18.72,Damascus
1910,17.81,Damascus
1911,17.41,Damascus
1912,18.09,Damascus
1913,17.65,Damascus
1914,17.80,Damascus
1915,18.46,Damascus
1916,18.68,Damascus
1917,18.52,Damascus
1918,18.11,Damascus
1919,18.44,Damascus
1920,17.67,Damascus
1921,17.74,Damascus
1922,18.64,Damascus
1923,18.76,Damascus
1924,18.57,Damascus
1925,18.52,Damascus
1926,18.52,Damascus
1927,18.73,Damascus
1928,18.94,Damascus
1929,18.44,Damascus
1930,18.98,Damascus
1931,18.68,Damascus
1932,18.56,Damascus
1933,18.05,Damascus
1934,18.69,Damascus
1935,19.14,Damascus
1936,18.93,Damascus
1937,19.13,Damascus
1938,18.26,Damascus
1939,18.95,Damascus
1940,18.79,Damascus
1941,19.06,Damascus
1942,18.64,Damascus
1943,18.26,Damascus
1944,18.47,Damascus
1945,18.13,Damascus
1946,18.75,Damascus
1947,19.44,Damascus
1948,18.00,Damascus
1949,17.70,Damascus
1950,18.50,Damascus
1951,18.95,Damascus
1952,19.06,Damascus
1953,17.95,Damascus
1954,18.81,Damascus
1955,19.35,Damascus
1956,18.53,Damascus
1957,18.58,Damascus
1958,19.04,Damascus
1959,17.99,Damascus
1960,19.59,Damascus
1961,18.41,Damascus
1962,19.52,Damascus
1963,19.33,Damascus
1964,18.05,Damascus
1965,18.69,Damascus
1966,19.26,Damascus
1967,17.80,Damascus
1968,18.78,Damascus
1969,19.01,Damascus
1970,18.88,Damascus
1971,18.35,Damascus
1972,18.18,Damascus
1973,18.52,Damascus
1974,18.45,Damascus
1975,18.39,Damascus
1976,18.24,Damascus
1977,18.61,Damascus
1978,18.90,Damascus
1979,19.33,Damascus
1980,18.65,Damascus
1981,18.80,Damascus
1982,18.12,Damascus
1983,17.99,Damascus
1984,18.49,Damascus
1985,18.99,Damascus
1986,18.73,Damascus
1987,18.64,Damascus
1988,18.77,Damascus
1989,18.73,Damascus
1990,18.90,Damascus
1991,18.83,Damascus
1992,17.73,Damascus
1993,18.72,Damascus
1994,19.34,Damascus
1995,18.79,Damascus
1996,19.23,Damascus
1997,18.55,Damascus
1998,19.73,Damascus
1999,19.73,Damascus
2000,19.09,Damascus
2001,19.75,Damascus
2002,19.47,Damascus
2003,19.30,Damascus
2004,19.22,Damascus
2005,19.15,Damascus
2006,19.07,Damascus
2007,19.47,Damascus
2008,19.75,Damascus
2009,19.60,Damascus
2010,21.07,Damascus
2011,18.95,Damascus
2012,19.72,Damascus
2013,19.83,Damascus
1743,5.27,Edinburgh
1744,8.29,Edinburgh
1745,2.75,Edinburgh
1746,,Edinburgh
1747,,Edinburgh
1748,,Edinburgh
1749,,Edinburgh
1750,8.41,Edinburgh
1751,8.16,Edinburgh
1752,4.78,Edinburgh
1753,7.51,Edinburgh
1754,7.42,Edinburgh
1755,7.14,Edinburgh
1756,7.64,Edinburgh
1757,7.65,Edinburgh
1758,6.87,Edinburgh
1759,7.85,Edinburgh
1760,7.13,Edinburgh
1761,7.93,Edinburgh
1762,7.13,Edinburgh
1763,6.92,Edinburgh
1764,7.13,Edinburgh
1765,6.87,Edinburgh
1766,7.14,Edinburgh
1767,7.14,Edinburgh
1768,7.20,Edinburgh
1769,7.24,Edinburgh
1770,6.96,Edinburgh
1771,6.86,Edinburgh
1772,6.95,Edinburgh
1773,7.25,Edinburgh
1774,6.86,Edinburgh
1775,7.95,Edinburgh
1776,7.15,Edinburgh
1777,7.34,Edinburgh
1778,7.82,Edinburgh
1779,8.90,Edinburgh
1780,7.75,Edinburgh
1781,8.53,Edinburgh
1782,6.28,Edinburgh
1783,7.66,Edinburgh
1784,6.36,Edinburgh
1785,6.98,Edinburgh
1786,6.63,Edinburgh
1787,7.79,Edinburgh
1788,7.63,Edinburgh
1789,7.78,Edinburgh
1790,7.97,Edinburgh
1791,7.83,Edinburgh
1792,7.72,Edinburgh
1793,7.65,Edinburgh
1794,8.18,Edinburgh
1795,7.17,Edinburgh
1796,7.64,Edinburgh
1797,7.76,Edinburgh
1798,8.14,Edinburgh
1799,6.23,Edinburgh
1800,7.25,Edinburgh
1801,7.77,Edinburgh
1802,7.44,Edinburgh
1803,7.22,Edinburgh
1804,7.49,Edinburgh
1805,7.20,Edinburgh
1806,7.56,Edinburgh
1807,6.83,Edinburgh
1808,7.12,Edinburgh
1809,7.02,Edinburgh
1810,6.87,Edinburgh
1811,7.82,Edinburgh
1812,6.60,Edinburgh
1813,7.35,Edinburgh
1814,6.33,Edinburgh
1815,7.15,Edinburgh
1816,6.18,Edinburgh
1817,7.03,Edinburgh
1818,7.82,Edinburgh
1819,7.47,Edinburgh
1820,7.06,Edinburgh
1821,7.94,Edinburgh
1822,8.23,Edinburgh
1823,6.80,Edinburgh
1824,7.69,Edinburgh
1825,8.13,Edinburgh
1826,8.39,Edinburgh
1827,7.58,Edinburgh
1828,8.26,Edinburgh
1829,6.52,Edinburgh
1830,7.06,Edinburgh
1831,8.10,Edinburgh
1832,7.79,Edinburgh
1833,7.52,Edinburgh
1834,8.56,Edinburgh
1835,7.52,Edinburgh
1836,6.87,Edinburgh
1837,6.92,Edinburgh
1838,6.18,Edinburgh
1839,6.99,Edinburgh
1840,7.11,Edinburgh
1841,7.17,Edinburgh
1842,7.88,Edinburgh
1843,7.56,Edinburgh
1844,7.13,Edinburgh
1845,6.94,Edinburgh
1846,8.73,Edinburgh
1847,7.57,Edinburgh
1848,7.50,Edinburgh
1849,7.39,Edinburgh
1850,7.38,Edinburgh
1851,7.44,Edinburgh
1852,8.16,Edinburgh
1853,7.01,Edinburgh
1854,7.78,Edinburgh
1855,6.57,Edinburgh
1856,7.26,Edinburgh
1857,8.52,Edinburgh
1858,7.53,Edinburgh
1859,7.57,Edinburgh
1860,6.22,Edinburgh
1861,7.59,Edinburgh
1862,7.31,Edinburgh
1863,7.85,Edinburgh
1864,6.98,Edinburgh
1865,7.73,Edinburgh
1866,7.53,Edinburgh
1867,7.26,Edinburgh
1868,8.39,Edinburgh
1869,7.61,Edinburgh
1870,7.32,Edinburgh
1871,7.35,Edinburgh
1872,7.81,Edinburgh
1873,7.43,Edinburgh
1874,7.63,Edinburgh
1875,7.73,Edinburgh
1876,7.64,Edinburgh
1877,7.21,Edinburgh
1878,7.68,Edinburgh
1879,5.98,Edinburgh
1880,7.54,Edinburgh
1881,6.65,Edinburgh
1882,7.70,Edinburgh
1883,7.37,Edinburgh
1884,7.95,Edinburgh
1885,6.87,Edinburgh
1886,6.83,Edinburgh
1887,7.08,Edinburgh
1888,6.75,Edinburgh
1889,7.57,Edinburgh
1890,7.59,Edinburgh
1891,7.15,Edinburgh
1892,6.46,Edinburgh
1893,8.21,Edinburgh
1894,7.61,Edinburgh
1895,6.98,Edinburgh
1896,7.84,Edinburgh
1897,7.60,Edinburgh
1898,8.33,Edinburgh
1899,7.88,Edinburgh
1900,7.60,Edinburgh
1901,7.64,Edinburgh
1902,7.09,Edinburgh
1903,7.37,Edinburgh
1904,7.38,Edinburgh
1905,7.65,Edinburgh
1906,7.67,Edinburgh
1907,7.23,Edinburgh
1908,7.79,Edinburgh
1909,6.99,Edinburgh
1910,7.49,Edinburgh
1911,8.20,Edinburgh
1912,7.52,Edinburgh
1913,7.95,Edinburgh
1914,8.23,Edinburgh
1915,7.14,Edinburgh
1916,7.55,Edinburgh
1917,7.05,Edinburgh
1918,7.74,Edinburgh
1919,6.91,Edinburgh
1920,7.91,Edinburgh
1921,8.59,Edinburgh
1922,7.02,Edinburgh
1923,7.26,Edinburgh
1924,7.59,Edinburgh
1925,7.49,Edinburgh
1926,8.00,Edinburgh
1927,7.40,Edinburgh
1928,7.59,Edinburgh
1929,7.37,Edinburgh
1930,7.64,Edinburgh
1931,7.33,Edinburgh
1932,7.90,Edinburgh
1933,8.39,Edinburgh
1934,8.43,Edinburgh
1935,7.87,Edinburgh
1936,7.76,Edinburgh
1937,7.70,Edinburgh
1938,8.49,Edinburgh
1939,8.13,Edinburgh
1940,7.42,Edinburgh
1941,7.34,Edinburgh
1942,7.38,Edinburgh
1943,8.30,Edinburgh
1944,7.94,Edinburgh
1945,8.67,Edinburgh
1946,7.82,Edinburgh
1947,7.70,Edinburgh
1948,8.17,Edinburgh
1949,8.81,Edinburgh
1950,7.67,Edinburgh
1951,7.47,Edinburgh
1952,7.38,Edinburgh
1953,8.54,Edinburgh
1954,7.57,Edinburgh
1955,7.68,Edinburgh
1956,7.43,Edinburgh
1957,8.28,Edinburgh
1958,7.56,Edinburgh
1959,8.67,Edinburgh
1960,8.02,Edinburgh
1961,8.07,Edinburgh
1962,7.10,Edinburgh
1963,6.92,Edinburgh
1964,7.83,Edinburgh
1965,7.13,Edinburgh
1966,7.51,Edinburgh
1967,7.99,Edinburgh
1968,7.61,Edinburgh
1969,7.48,Edinburgh
1970,7.74,Edinburgh
1971,8.31,Edinburgh
1972,7.64,Edinburgh
1973,7.89,Edinburgh
1974,7.81,Edinburgh
1975,8.22,Edinburgh
1976,8.15,Edinburgh
1977,7.68,Edinburgh
1978,7.62,Edinburgh
1979,7.06,Edinburgh
1980,7.74,Edinburgh
1981,7.48,Edinburgh
1982,7.99,Edinburgh
1983,8.14,Edinburgh
1984,8.09,Edinburgh
1985,7.25,Edinburgh
1986,7.04,Edinburgh
1987,7.33,Edinburgh
1988,8.11,Edinburgh
1989,8.57,Edinburgh
1990,8.68,Edinburgh
1991,7.99,Edinburgh
1992,8.05,Edinburgh
1993,7.59,Edinburgh
1994,8.07,Edinburgh
1995,8.49,Edinburgh
1996,7.71,Edinburgh
1997,8.87,Edinburgh
1998,8.56,Edinburgh
1999,8.74,Edinburgh
2000,8.48,Edinburgh
2001,8.15,Edinburgh
2002,8.76,Edinburgh
2003,8.95,Edinburgh
2004,8.92,Edinburgh
2005,8.85,Edinburgh
2006,9.10,Edinburgh
2007,8.94,Edinburgh
2008,8.42,Edinburgh
2009,8.64,Edinburgh
2010,7.43,Edinburgh
2011,8.95,Edinburgh
2012,8.08,Edinburgh
2013,8.39,Edinburgh
1743,4.11,Vienna
1744,9.77,Vienna
1745,0.29,Vienna
1746,,Vienna
1747,,Vienna
1748,,Vienna
1749,,Vienna
1750,8.86,Vienna
1751,9.03,Vienna
1752,3.42,Vienna
1753,7.91,Vienna
1754,7.73,Vienna
1755,7.53,Vienna
1756,8.51,Vienna
1757,8.14,Vienna
1758,7.13,Vienna
1759,8.09,Vienna
1760,7.99,Vienna
1761,8.46,Vienna
1762,7.89,Vienna
1763,7.58,Vienna
1764,8.24,Vienna
1765,7.95,Vienna
1766,7.90,Vienna
1767,7.32,Vienna
1768,6.82,Vienna
1769,7.67,Vienna
1770,7.69,Vienna
1771,6.97,Vienna
1772,8.90,Vienna
1773,8.48,Vienna
1774,8.04,Vienna
1775,8.96,Vienna
1776,7.45,Vienna
1777,7.66,Vienna
1778,9.00,Vienna
1779,9.20,Vienna
1780,7.64,Vienna
1781,8.90,Vienna
1782,7.64,Vienna
1783,8.72,Vienna
1784,7.18,Vienna
1785,6.59,Vienna
1786,6.85,Vienna
1787,8.26,Vienna
1788,7.63,Vienna
1789,8.27,Vienna
1790,8.32,Vienna
1791,8.89,Vienna
1792,7.99,Vienna
1793,8.14,Vienna
1794,9.16,Vienna
1795,7.91,Vienna
1796,8.07,Vienna
1797,9.49,Vienna
1798,8.41,Vienna
1799,6.30,Vienna
1800,8.17,Vienna
1801,8.99,Vienna
1802,8.71,Vienna
1803,7.23,Vienna
1804,7.50,Vienna
1805,6.26,Vienna
1806,8.93,Vienna
1807,8.75,Vienna
1808,7.14,Vienna
1809,7.79,Vienna
1810,7.82,Vienna
1811,9.06,Vienna
1812,6.85,Vienna
1813,7.51,Vienna
1814,6.90,Vienna
1815,7.36,Vienna
1816,7.17,Vienna
1817,8.00,Vienna
1818,8.27,Vienna
1819,8.31,Vienna
1820,7.44,Vienna
1821,7.98,Vienna
1822,9.28,Vienna
1823,7.78,Vienna
1824,8.59,Vienna
1825,8.43,Vienna
1826,8.10,Vienna
1827,8.35,Vienna
1828,8.04,Vienna
1829,5.71,Vienna
1830,7.53,Vienna
1831,7.95,Vienna
1832,7.26,Vienna
1833,8.11,Vienna
1834,9.31,Vienna
1835,7.60,Vienna
1836,8.19,Vienna
1837,6.90,Vienna
1838,6.23,Vienna
1839,7.88,Vienna
1840,6.43,Vienna
1841,8.52,Vienna
1842,7.16,Vienna
1843,8.07,Vienna
1844,7.17,Vienna
1845,7.63,Vienna
1846,9.16,Vienna
1847,7.24,Vienna
1848,8.26,Vienna
1849,7.26,Vienna
1850,7.54,Vienna
1851,7.63,Vienna
1852,8.42,Vienna
1853,7.10,Vienna
1854,7.58,Vienna
1855,6.83,Vienna
1856,7.62,Vienna
1857,7.95,Vienna
1858,6.65,Vienna
1859,8.61,Vienna
1860,7.44,Vienna
1861,8.02,Vienna
1862,8.32,Vienna
1863,9.33,Vienna
1864,6.23,Vienna
1865,7.87,Vienna
1866,8.59,Vienna
1867,7.73,Vienna
1868,9.24,Vienna
1869,8.34,Vienna
1870,6.49,Vienna
1871,6.23,Vienna
1872,9.24,Vienna
1873,8.53,Vienna
1874,7.70,Vienna
1875,6.71,Vienna
1876,7.61,Vienna
1877,7.84,Vienna
1878,8.16,Vienna
1879,6.85,Vienna
1880,8.09,Vienna
1881,6.91,Vienna
1882,8.52,Vienna
1883,7.41,Vienna
1884,7.99,Vienna
1885,7.94,Vienna
1886,7.92,Vienna
1887,7.12,Vienna
1888,6.91,Vienna
1889,7.40,Vienna
1890,7.57,Vienna
1891,7.34,Vienna
1892,7.58,Vienna
1893,7.40,Vienna
1894,7.99,Vienna
1895,7.32,Vienna
1896,7.47,Vienna
1897,7.86,Vienna
1898,8.78,Vienna
1899,7.79,Vienna
1900,8.44,Vienna
1901,7.61,Vienna
1902,6.98,Vienna
1903,8.29,Vienna
1904,8.18,Vienna
1905,7.95,Vienna
1906,8.09,Vienna
1907,7.69,Vienna
1908,7.37,Vienna
1909,7.43,Vienna
1910,8.40,Vienna
1911,8.68,Vienna
1912,7.31,Vienna
1913,8.02,Vienna
1914,7.86,Vienna
1915,7.81,Vienna
1916,8.73,Vienna
1917,7.60,Vienna
1918,8.53,Vienna
1919,7.37,Vienna
1920,8.48,Vienna
1921,8.64,Vienna
1922,7.16,Vienna
1923,8.19,Vienna
1924,7.24,Vienna
1925,8.22,Vienna
1926,8.74,Vienna
1927,8.19,Vienna
1928,8.32,Vienna
1929,7.03,Vienna
1930,8.70,Vienna
1931,7.55,Vienna
1932,8.14,Vienna
1933,7.07,Vienna
1934,9.59,Vienna
1935,8.13,Vienna
1936,8.45,Vienna
1937,8.61,Vienna
1938,8.52,Vienna
1939,8.49,Vienna
1940,6.17,Vienna
1941,6.98,Vienna
1942,7.18,Vienna
1943,8.57,Vienna
1944,8.06,Vienna
1945,8.62,Vienna
1946,8.52,Vienna
1947,8.24,Vienna
1948,8.64,Vienna
1949,8.83,Vienna
1950,8.77,Vienna
1951,9.17,Vienna
1952,7.98,Vienna
1953,8.68,Vienna
1954,7.49,Vienna
1955,7.69,Vienna
1956,6.95,Vienna
1957,8.57,Vienna
1958,8.37,Vienna
1959,8.59,Vienna
1960,8.46,Vienna
1961,8.95,Vienna
1962,7.48,Vienna
1963,7.46,Vienna
1964,7.86,Vienna
1965,7.27,Vienna
1966,8.82,Vienna
1967,8.87,Vienna
1968,8.34,Vienna
1969,7.80,Vienna
1970,7.79,Vienna
1971,8.31,Vienna
1972,8.23,Vienna
1973,8.26,Vienna
1974,8.95,Vienna
1975,9.02,Vienna
1976,8.25,Vienna
1977,8.63,Vienna
1978,7.68,Vienna
1979,8.30,Vienna
1980,7.17,Vienna
1981,8.43,Vienna
1982,8.68,Vienna
1983,9.20,Vienna
1984,8.12,Vienna
1985,7.35,Vienna
1986,8.08,Vienna
1987,7.65,Vienna
1988,8.83,Vienna
1989,9.27,Vienna
1990,9.23,Vienna
1991,8.15,Vienna
1992,9.49,Vienna
1993,8.48,Vienna
1994,9.89,Vienna
1995,8.79,Vienna
1996,7.40,Vienna
1997,8.37,Vienna
1998,9.01,Vienna
1999,9.17,Vienna
2000,10.08,Vienna
2001,8.75,Vienna
2002,9.62,Vienna
2003,9.24,Vienna
2004,8.76,Vienna
2005,8.60,Vienna
2006,9.13,Vienna
2007,10.03,Vienna
2008,9.96,Vienna
2009,9.48,Vienna
2010,8.36,Vienna
2011,9.42,Vienna
2012,9.42,Vienna
2013,10.03,Vienna
